,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Social Generosity
0,1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.39299999999999996,0.242811
1,2,Denmark,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,0.396396
2,3,Norway,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341,0.428722
3,4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.11800000000000001,0.574896
4,5,Netherlands,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298,0.49008399999999996
5,6,Switzerland,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997,0.40133800000000003
6,7,Sweden,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373,0.39702899999999997
7,8,New Zealand,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,0.51381
8,9,Canada,7.278,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,0.42892499999999995
9,10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,0.3599
10,11,Australia,7.228,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,0.5139360000000001
11,12,Costa Rica,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001,0.207504
12,13,Israel,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.261,0.08199999999999999,0.379755
13,14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.19399999999999998,0.316,0.28692599999999996
14,15,United Kingdom,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,0.5352239999999999
15,16,Ireland,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,0.31,0.46279400000000004
16,17,Germany,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,0.265,0.379494
17,18,Belgium,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.16,0.21,0.24064
18,19,United States,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.28,0.128,0.40796
19,20,Czech Republic,6.852,1.2690000000000001,1.4869999999999999,0.92,0.457,0.046,0.036000000000000004,0.06840199999999999
20,21,United Arab Emirates,6.825,1.5030000000000001,1.31,0.825,0.598,0.262,0.182,0.34322
21,22,Malta,6.726,1.3,1.52,0.9990000000000001,0.564,0.375,0.151,0.5700000000000001
22,23,Mexico,6.595,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073,0.09790200000000003
23,24,France,6.5920000000000005,1.324,1.472,1.045,0.436,0.111,0.183,0.163392
24,25,Taiwan,6.446000000000001,1.368,1.43,0.914,0.35100000000000003,0.242,0.09699999999999999,0.34606
25,26,Chile,6.444,1.159,1.369,0.92,0.35700000000000004,0.187,0.055999999999999994,0.256003
26,27,Guatemala,6.436,0.8,1.2690000000000001,0.746,0.535,0.175,0.078,0.222075
27,28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,0.10856
28,29,Qatar,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22,0.16699999999999998,0.28886000000000006
29,30,Spain,6.354,1.286,1.484,1.062,0.36200000000000004,0.153,0.079,0.227052
30,31,Panama,6.321000000000001,1.149,1.442,0.91,0.516,0.109,0.054000000000000006,0.15717799999999998
31,32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,0.142461
32,33,Uruguay,6.292999999999999,1.124,1.465,0.8909999999999999,0.523,0.127,0.15,0.18605500000000003
33,34,Singapore,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.271,0.45299999999999996,0.3964730000000001
34,35,El Salvador,6.252999999999999,0.794,1.242,0.789,0.43,0.09300000000000001,0.07400000000000001,0.11550600000000001
35,36,Italy,6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,0.158,0.03,0.23510400000000004
36,37,Bahrain,6.199,1.3619999999999999,1.368,0.871,0.536,0.255,0.11,0.34884000000000004
37,38,Slovakia,6.1979999999999995,1.246,1.504,0.8809999999999999,0.33399999999999996,0.121,0.013999999999999999,0.181984
38,39,Trinidad & Tobago,6.192,1.2309999999999999,1.4769999999999999,0.713,0.489,0.185,0.016,0.27324499999999996
39,40,Poland,6.182,1.206,1.4380000000000002,0.884,0.483,0.11699999999999999,0.05,0.168246
40,41,Uzbekistan,6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,0.322,0.24,0.49233800000000005
41,42,Lithuania,6.149,1.238,1.515,0.818,0.29100000000000004,0.043,0.042,0.065145
42,43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,0.13959
43,44,Slovenia,6.117999999999999,1.258,1.5230000000000001,0.953,0.564,0.14400000000000002,0.057,0.21931200000000003
44,45,Nicaragua,6.105,0.6940000000000001,1.325,0.835,0.435,0.2,0.127,0.265
45,46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,0.322784
46,47,Argentina,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.066,0.05,0.094512
47,48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,0.102256
48,49,Cyprus,6.046,1.263,1.2229999999999999,1.042,0.406,0.19,0.040999999999999995,0.23236999999999997
49,50,Ecuador,6.028,0.912,1.3119999999999998,0.868,0.498,0.126,0.087,0.165312
50,51,Kuwait,6.021,1.5,1.319,0.8079999999999999,0.493,0.142,0.09699999999999999,0.18729799999999996
51,52,Thailand,6.007999999999999,1.05,1.409,0.828,0.557,0.359,0.027999999999999997,0.505831
52,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,0.109875
53,54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.055999999999999994,0.21332500000000001
54,55,Estonia,5.893,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001,0.161,0.15738400000000002
55,56,Jamaica,5.89,0.831,1.4780000000000002,0.831,0.49,0.107,0.027999999999999997,0.158146
56,57,Mauritius,5.888,1.12,1.402,0.7979999999999999,0.498,0.215,0.06,0.30143
57,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,0.09791100000000001
58,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.24600000000000002,0.078,0.30405600000000005
59,60,Kazakhstan,5.809,1.173,1.508,0.7290000000000001,0.41,0.146,0.096,0.22016799999999997
60,61,Bolivia,5.779,0.7759999999999999,1.209,0.706,0.511,0.13699999999999998,0.064,0.165633
61,62,Hungary,5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,0.081,0.02,0.11420999999999999
62,63,Paraguay,5.742999999999999,0.855,1.475,0.777,0.514,0.184,0.08,0.27140000000000003
